chrom,ID,start,end,strand,nTSS,nTags,tsrwidth
chr1,KLHL17,894630,894651,-,7,148,22
chr1,PLEKHN1,894630,894651,-,7,148,22
chr1,PERM1,894630,894651,-,7,148,22
chr1,ISG15,935475,935477,-,2,34,3
chr1,AGRN,955454,955506,+,24,959,53
chr1,RNF223,995114,995114,+,1,14,1
chr1,RNF223,999837,999837,+,1,10,1
chr1,C1orf159,999837,999837,+,1,10,1
chr1,C1orf159,1009686,1009686,-,1,14,1
chr1,TNFRSF4,1139067,1139069,-,3,73,3
chr1,SDF4,1139067,1139069,-,3,73,3
chr1,B3GALT6,1152802,1152802,-,1,16,1
chr1,B3GALT6,1167360,1167425,-,20,476,66
chr1,C1QTNF12,1167360,1167425,-,20,476,66
chr1,SCNN1D,1209207,1209246,-,18,356,40
chr1,ACAP3,1209207,1209246,-,18,356,40
chr1,PUSL1,1243977,1243977,+,1,12,1
chr1,INTS11,1243977,1243977,+,1,12,1
chr1,CPTP,1243977,1243977,+,1,12,1
chr1,CPTP,1260017,1260060,-,15,409,44
chr1,TAS1R3,1260182,1260185,+,3,39,4
chr1,TAS1R3,1260017,1260060,-,15,409,44
chr1,DVL1,1260182,1260185,+,3,39,4
chr1,DVL1,1260017,1260060,-,15,409,44
chr1,MXRA8,1284760,1284798,-,3,36,39
chr1,CCNL2,1326912,1326916,+,4,56,5
chr1,CCNL2,1310546,1310593,-,27,685,48
chr1,MRPL20,1326912,1326916,+,4,56,5
chr1,MRPL20,1334932,1334932,+,1,17,1
chr1,MRPL20,1334691,1334715,-,10,174,25
chr1,ANKRD65,1334932,1334932,+,1,17,1
chr1,ANKRD65,1334691,1334715,-,10,174,25
chr1,ANKRD65,1342600,1342686,-,26,653,87
chr1,TMEM88B,1342600,1342686,-,26,653,87
chr1,ATAD3C,1371070,1371080,+,2,25,11
chr1,ATAD3B,1407158,1407161,+,2,22,4
chr1,ATAD3B,1413229,1413229,+,1,18,1
chr1,ATAD3A,1447226,1447226,+,1,11,1
chr1,ATAD3A,1447540,1447555,+,7,129,16
chr1,ATAD3A,1447151,1447151,-,1,11,1
chr1,MMP23B,1563454,1563454,-,1,11,1
chr1,CDK11B,1563454,1563454,-,1,11,1
chr1,SLC35E2B,1590424,1590466,-,12,232,43
chr1,SLC35E2A,1655766,1655796,-,6,80,31
chr1,GNB1,1709863,1709893,-,4,70,31
chr1,CFAP74,1850718,1850718,-,1,17,1
chr1,SKI,2159472,2159473,+,2,57,2
chr1,RER1,2322993,2322993,-,1,22,1
chr1,PEX10,2323244,2323302,+,28,725,59
chr1,PEX10,2322993,2322993,-,1,22,1
chr1,HES5,2458035,2458039,-,2,67,5
chr1,ARHGEF16,3357858,3357858,+,1,26,1
chr1,CCDC27,3663938,3663939,-,2,23,2
chr1,CEP104,3713052,3713062,-,4,49,11
chr1,DFFB,3764319,3764319,-,1,13,1
chr1,DFFB,3773775,3773775,-,1,27,1
chr1,RNF207,6259642,6259697,-,48,8125,56
chr1,HES3,6295989,6296057,-,25,435,69
chr1,GPR153,6295989,6296057,-,25,435,69
chr1,TAS1R1,6614572,6614596,-,7,128,25
chr1,ZBTB48,6623716,6623716,-,1,30,1
chr1,PHF13,6673791,6673791,+,1,12,1
chr1,PHF13,6662929,6662929,-,1,14,1
chr1,THAP3,6673791,6673791,+,1,12,1
chr1,DNAJC11,6685252,6685252,+,1,11,1
chr1,PER3,7831335,7831409,+,26,730,75
chr1,H6PD,9294833,9294836,+,2,44,4
chr1,SPSB1,9345546,9345546,-,1,47,1
chr1,SLC25A33,9595326,9595326,-,1,95,1
chr1,TMEM201,9634839,9634846,+,6,676,8
chr1,PIK3CD,9749304,9749304,+,1,11,1
chr1,PIK3CD,9747619,9747631,-,3,49,13
chr1,NMNAT1,9992184,9992184,-,1,13,1
chr1,NMNAT1,10003385,10003397,-,2,24,13
chr1,UBE4B,10093016,10093016,+,1,13,1
chr1,CENPS,10480472,10480472,+,1,22,1
chr1,CENPS-CORT,10480472,10480472,+,1,22,1
chr1,CORT,10490809,10490809,+,1,12,1
chr1,PEX14,10532545,10532611,-,7,109,67
chr1,EXOSC10,11120068,11120110,-,13,224,43
chr1,MTOR,11159893,11159926,-,15,292,34
chr1,UBIAD1,11322596,11322608,-,3,57,13
chr1,DISP3,11524185,11524185,-,1,11,1
chr1,DRAXIN,11741198,11741208,-,7,133,11
chr1,MTHFR,11826840,11826841,+,2,290,2
chr1,MTHFR,11845223,11845223,+,1,53,1
chr1,CLCN6,11851328,11851328,+,1,11,1
chr1,CLCN6,11863594,11863594,-,1,12,1
chr1,KIAA2013,11968207,11968212,+,6,480,6
chr1,KIAA2013,11969982,11969982,-,1,34,1
chr1,PLOD1,11986470,11986484,-,2,25,15
chr1,VPS13D,12290087,12290087,+,1,10,1
chr1,PRAMEF2,12908306,12908309,-,3,64,4
chr1,PRAMEF19,13680158,13680158,-,1,11,1
chr1,TMEM51,15479062,15479062,+,1,10,1
chr1,C1orf195,15479062,15479062,+,1,10,1
chr1,C1orf195,15480243,15480259,+,2,30,17
chr1,CTRC,15753655,15753655,+,1,21,1
chr1,CTRC,15755266,15755266,+,1,11,1
chr1,CTRC,15756338,15756338,+,1,15,1
chr1,CTRC,15756456,15756456,+,1,13,1
chr1,CELA2A,15768960,15768960,-,1,16,1
chr1,CELA2A,15770124,15770124,-,1,13,1
chr1,DNAJC16,15853343,15853343,+,1,12,1
chr1,DNAJC16,15850709,15850710,-,2,49,2
chr1,AGMAT,15890783,15890783,-,1,12,1
chr1,DDI2,15931021,15931052,+,13,272,32
chr1,DDI2,15943949,15943953,+,2,32,5
chr1,FBLIM1,16085275,16085290,+,2,21,16
chr1,SPEN,16161356,16161356,-,1,12,1
chr1,CPLANE2,16553277,16553277,-,1,13,1
chr1,SZRD1,16678939,16678975,-,2,23,37
chr1,NECAP2,16758145,16758150,+,4,255,6
chr1,CROCC,17231691,17231703,+,13,1266,13
chr1,ATP13A2,17307186,17307186,-,1,12,1
chr1,SDHB,17338423,17338423,-,1,22,1
chr1,PADI2,17380517,17380542,-,20,802,26
chr1,PADI2,17380606,17380609,-,2,40,4
chr1,IFFO2,19229044,19229074,-,5,79,31
chr1,EMC1,19532701,19532701,+,1,12,1
chr1,EMC1,19536750,19536778,-,14,425,29
chr1,MRTO4,19578012,19578021,-,8,171,10
chr1,SLC66A1,19638576,19638638,-,14,336,63
chr1,NBL1,19970805,19970836,+,6,116,32
chr1,MUL1,20812110,20812110,-,1,10,1
chr1,MUL1,20812696,20812758,-,19,394,63
chr1,CDA,20915417,20915477,+,19,443,61
chr1,DDOST,20959951,20959971,+,4,65,21
chr1,KIF17,20987857,20987896,-,27,1168,40
chr1,KIF17,20987943,20987943,-,1,13,1
chr1,CDC42,22377039,22377039,+,1,11,1
chr1,EPHB2,23037331,23037332,+,2,24,2
chr1,ZNF436,23670743,23670853,-,30,712,111
chr1,MDS2,23946049,23946049,+,1,32,1
chr1,MDS2,23934086,23934086,-,1,23,1
chr1,PITHD1,24104773,24104780,-,2,29,8
chr1,LYPLA2,24104908,24104912,+,4,122,5
chr1,LYPLA2,24104773,24104780,-,2,29,8
chr1,GALE,24104908,24104912,+,4,122,5
chr1,GALE,24117674,24117711,+,5,72,38
chr1,GALE,24104773,24104780,-,2,29,8
chr1,HMGCL,24117674,24117711,+,5,72,38
chr1,HMGCL,24126032,24126037,-,2,22,6
chr1,HMGCL,24127241,24127246,-,6,207,6
chr1,FUCA1,24151918,24151918,-,1,26,1
chr1,CNR2,24194780,24194787,-,2,26,8
chr1,SRSF10,24286295,24286321,+,11,389,27
chr1,GRHL3,24648481,24648489,-,2,62,9
chr1,NIPAL3,24742286,24742292,+,2,23,7
chr1,NIPAL3,24740189,24740189,-,1,10,1
chr1,SRRM1,24969763,24969801,+,16,432,39
chr1,CLIC4,25071876,25071876,+,1,13,1
chr1,RSRP1,25558968,25558996,-,20,613,29
chr1,RHD,25594493,25594493,+,1,11,1
chr1,MACO1,25757388,25757388,+,1,12,1
chr1,MAN1C1,25935075,25935075,-,1,10,1
chr1,MTFR1L,26146448,26146469,+,2,23,22
chr1,AUNIP,26146448,26146469,+,2,23,22
chr1,CNKSR1,26496393,26496438,+,14,324,46
chr1,CNKSR1,26503981,26503981,+,1,10,1
chr1,CATSPER4,26503981,26503981,+,1,10,1
chr1,UBXN11,26606535,26606634,+,58,2821,100
chr1,CD52,26633126,26633128,-,3,40,3
chr1,CRYBG2,26633126,26633128,-,3,40,3
chr1,ZNF683,26687482,26687482,-,1,14,1
chr1,LIN28A,26730274,26730274,-,1,29,1
chr1,HMGN2,26781715,26781716,-,2,69,2
chr1,RPS6KA1,26856252,26856260,+,2,53,9
chr1,ARID1A,27022205,27022205,+,1,10,1
chr1,GPN2,27189612,27189669,+,17,1561,58
chr1,GPATCH3,27216765,27216774,-,2,52,10
chr1,NR0B2,27226958,27226958,-,1,10,1
chr1,TRNP1,27306570,27306572,+,3,54,3
chr1,TENT5B,27320180,27320188,+,9,857,9
chr1,TENT5B,27320230,27320230,+,1,10,1
chr1,TENT5B,27320388,27320391,+,4,252,4
chr1,TENT5B,27326492,27326492,+,1,14,1
chr1,SYTL1,27648736,27648757,+,2,22,22
chr1,SYTL1,27651939,27651939,+,1,30,1
chr1,FGR,27929694,27929694,+,1,13,1
chr1,FGR,27930654,27930655,-,2,44,2
chr1,RPA2,28199055,28199056,+,2,29,2
chr1,SMPDL3B,28242654,28242654,-,1,15,1
chr1,ATP5IF1,28549409,28549409,+,1,10,1
chr1,ATP5IF1,28559512,28559542,-,21,593,31
chr1,RCC1,28832551,28832565,+,15,1819,15
chr1,RCC1,28832730,28832730,+,1,19,1
chr1,RCC1,28833083,28833083,+,1,12,1
chr1,RCC1,28838193,28838193,+,1,17,1
chr1,RAB42,28908378,28908386,-,7,312,9
chr1,GMEB1,28975345,28975345,+,1,16,1
chr1,YTHDF2,29045784,29045788,+,3,59,5
