chrom,ID,start,end,strand,nTSS,nTags,tsrwidth
chr1,KLHL17,894631,894648,-,4,68,18
chr1,PLEKHN1,894631,894648,-,4,68,18
chr1,PERM1,894631,894648,-,4,68,18
chr1,ISG15,948877,948877,+,1,12,1
chr1,TNFRSF4,1139068,1139069,-,2,32,2
chr1,SDF4,1139068,1139069,-,2,32,2
chr1,B3GALT6,1167361,1167385,-,10,205,25
chr1,C1QTNF12,1167361,1167385,-,10,205,25
chr1,SCNN1D,1209207,1209235,-,8,118,29
chr1,ACAP3,1209207,1209235,-,8,118,29
chr1,CPTP,1260040,1260041,-,2,53,2
chr1,TAS1R3,1260040,1260041,-,2,53,2
chr1,DVL1,1260040,1260041,-,2,53,2
chr1,CCNL2,1326916,1326916,+,1,15,1
chr1,CCNL2,1310546,1310589,-,14,250,44
chr1,MRPL20,1326916,1326916,+,1,15,1
chr1,MRPL20,1334715,1334715,-,1,11,1
chr1,ANKRD65,1334715,1334715,-,1,11,1
chr1,ANKRD65,1342626,1342686,-,16,395,61
chr1,TMEM88B,1342626,1342686,-,16,395,61
chr1,ATAD3A,1447542,1447545,+,2,56,4
chr1,SLC35E2B,1590429,1590464,-,4,72,36
chr1,SKI,2159472,2159473,+,2,73,2
chr1,PEX10,2323269,2323293,+,7,119,25
chr1,HES5,2458035,2458035,-,1,17,1
chr1,KCNAB2,6086346,6086433,+,12,418,88
chr1,RNF207,6259642,6259688,-,29,4275,47
chr1,HES3,6295989,6296024,-,4,49,36
chr1,GPR153,6295989,6296024,-,4,49,36
chr1,TAS1R1,6614573,6614596,-,3,52,24
chr1,ZBTB48,6640054,6640054,+,1,10,1
chr1,KLHL21,6640054,6640054,+,1,10,1
chr1,PER3,7831356,7831392,+,2,31,37
chr1,TNFRSF9,7973309,7973328,-,3,40,20
chr1,SLC25A33,9595326,9595326,-,1,98,1
chr1,TMEM201,9634845,9634846,+,2,91,2
chr1,UBE4B,10093016,10093016,+,1,13,1
chr1,CENPS,10480472,10480472,+,1,10,1
chr1,CENPS-CORT,10480472,10480472,+,1,10,1
chr1,EXOSC10,11120038,11120110,-,16,314,73
chr1,MTOR,11159894,11159927,-,7,160,34
chr1,UBIAD1,11322597,11322597,-,1,13,1
chr1,DRAXIN,11741202,11741205,-,2,29,4
chr1,MTHFR,11826840,11826840,+,1,17,1
chr1,MTHFR,11845223,11845223,+,1,16,1
chr1,KIAA2013,11968207,11968211,+,3,67,5
chr1,TNFRSF1B,12227042,12227048,+,2,45,7
chr1,DDI2,15931023,15931045,+,5,86,23
chr1,DDI2,15943953,15943953,+,1,11,1
chr1,PLEKHM2,16010815,16010815,+,1,10,1
chr1,SPEN,16161356,16161356,-,1,10,1
chr1,CROCC,17231694,17231694,+,1,10,1
chr1,SDHB,17338423,17338423,-,1,10,1
chr1,PADI2,17380523,17380536,-,8,204,14
chr1,EMC1,19533188,19533188,+,1,11,1
chr1,EMC1,19536751,19536758,-,6,108,8
chr1,MRTO4,19578289,19578299,+,3,50,11
chr1,MRTO4,19578012,19578016,-,2,30,5
chr1,SLC66A1,19638595,19638618,-,5,125,24
chr1,TMCO4,20053495,20053495,+,1,12,1
chr1,KIF17,20987858,20987896,-,20,418,39
chr1,KIF17,20987943,20987988,-,6,106,46
chr1,ZBTB40,22778344,22778344,+,1,10,1
chr1,ZNF436,23670743,23670781,-,7,150,39
chr1,MDS2,23934086,23934086,-,1,10,1
chr1,LYPLA2,24104908,24104909,+,2,38,2
chr1,GALE,24104908,24104909,+,2,38,2
chr1,GALE,24117675,24117675,+,1,14,1
chr1,HMGCL,24117675,24117675,+,1,14,1
chr1,SRSF10,24286308,24286321,+,10,316,14
chr1,NIPAL3,24742292,24742292,+,1,10,1
chr1,SRRM1,24969763,24969797,+,17,390,35
chr1,RSRP1,25558992,25558993,-,2,87,2
chr1,CNKSR1,26496399,26496418,+,2,49,20
chr1,UBXN11,26606539,26606593,+,41,1531,55
chr1,CD52,26633127,26633127,-,1,13,1
chr1,CRYBG2,26644449,26644450,+,2,82,2
chr1,CRYBG2,26633127,26633127,-,1,13,1
chr1,RPS6KA1,26856252,26856252,+,1,13,1
chr1,GPATCH3,27216774,27216774,-,1,10,1
chr1,SYTL1,27651939,27651939,+,1,10,1
chr1,STX12,28099730,28099730,+,1,11,1
chr1,THEMIS2,28199055,28199055,+,1,15,1
chr1,RPA2,28199055,28199055,+,1,15,1
chr1,ATP5IF1,28559515,28559542,-,9,179,28
chr1,RCC1,28832554,28832564,+,8,482,11
chr1,TRNAU1AP,28879597,28879597,+,1,15,1
chr1,RAB42,28908378,28908385,-,3,64,8
chr1,MECR,29508410,29508410,-,1,10,1
chr1,PTPRU,29557436,29557446,-,2,20,11
chr1,ZCCHC17,31769604,31769635,-,11,183,32
chr1,SERINC2,31886040,31886040,+,1,13,1
chr1,COL16A1,32110474,32110477,-,2,30,4
chr1,KPNA6,32573649,32573657,+,2,36,9
chr1,CCDC28B,32661612,32661612,+,1,14,1
chr1,IQCC,32661612,32661612,+,1,14,1
