chrom,ID,start,end,strand,nTSS,nTags,tsrwidth
chr1,KLHL17,894630,894657,-,24,612,28
chr1,PLEKHN1,895977,895977,+,1,10,1
chr1,PLEKHN1,894630,894657,-,24,612,28
chr1,PERM1,895977,895977,+,1,10,1
chr1,PERM1,894630,894657,-,24,612,28
chr1,HES4,918372,918372,+,1,12,1
chr1,HES4,918453,918453,-,1,10,1
chr1,AGRN,955469,955500,+,10,210,32
chr1,AGRN,968731,968757,+,4,72,27
chr1,RNF223,999641,999660,-,2,23,20
chr1,RNF223,1004717,1004717,-,1,18,1
chr1,C1orf159,999641,999660,-,2,23,20
chr1,C1orf159,1004717,1004717,-,1,18,1
chr1,TNFRSF4,1141972,1141972,-,1,14,1
chr1,SDF4,1141972,1141972,-,1,14,1
chr1,SDF4,1149533,1149533,-,1,33,1
chr1,B3GALT6,1149533,1149533,-,1,33,1
chr1,B3GALT6,1167361,1167387,-,23,558,27
chr1,C1QTNF12,1167361,1167387,-,23,558,27
chr1,UBE2J2,1181931,1181931,-,1,17,1
chr1,SCNN1D,1209207,1209246,-,22,471,40
chr1,ACAP3,1209207,1209246,-,22,471,40
chr1,PUSL1,1243977,1243977,+,1,14,1
chr1,PUSL1,1243310,1243310,-,1,10,1
chr1,INTS11,1243977,1243977,+,1,14,1
chr1,INTS11,1243310,1243310,-,1,10,1
chr1,CPTP,1243977,1243977,+,1,14,1
chr1,CPTP,1243310,1243310,-,1,10,1
chr1,CPTP,1260015,1260054,-,20,684,40
chr1,TAS1R3,1260180,1260185,+,3,55,6
chr1,TAS1R3,1260015,1260054,-,20,684,40
chr1,DVL1,1260180,1260185,+,3,55,6
chr1,DVL1,1260015,1260054,-,20,684,40
chr1,MXRA8,1277133,1277133,-,1,13,1
chr1,MXRA8,1284796,1284798,-,2,25,3
chr1,CCNL2,1323238,1323238,+,1,10,1
chr1,CCNL2,1326913,1326917,+,4,59,5
chr1,CCNL2,1310546,1310594,-,36,1161,49
chr1,MRPL20,1323238,1323238,+,1,10,1
chr1,MRPL20,1326913,1326917,+,4,59,5
chr1,MRPL20,1334932,1334932,+,1,12,1
chr1,MRPL20,1334691,1334717,-,14,358,27
chr1,ANKRD65,1334932,1334932,+,1,12,1
chr1,ANKRD65,1334691,1334717,-,14,358,27
chr1,ANKRD65,1342599,1342686,-,42,1625,88
chr1,TMEM88B,1355494,1355494,+,1,14,1
chr1,TMEM88B,1342599,1342686,-,42,1625,88
chr1,VWA1,1355494,1355494,+,1,14,1
chr1,ATAD3B,1395433,1395435,+,2,81,3
chr1,ATAD3B,1407141,1407171,+,15,261,31
chr1,ATAD3A,1447523,1447555,+,20,484,33
chr1,ATAD3A,1447151,1447151,-,1,10,1
chr1,MMP23B,1559298,1559298,+,1,30,1
chr1,MMP23B,1564374,1564374,+,1,14,1
chr1,MMP23B,1563448,1563454,-,2,30,7
chr1,CDK11B,1559298,1559298,+,1,30,1
chr1,CDK11B,1564374,1564374,+,1,14,1
chr1,CDK11B,1563448,1563454,-,2,30,7
chr1,SLC35E2B,1590424,1590469,-,25,627,46
chr1,CDK11A,1623946,1623946,-,1,10,1
chr1,SLC35E2A,1647917,1647918,-,2,26,2
chr1,SLC35E2A,1655765,1655798,-,13,206,34
chr1,GNB1,1709863,1709909,-,9,177,47
chr1,GNB1,1711452,1711482,-,5,97,31
chr1,SKI,2159471,2159473,+,3,78,3
chr1,SKI,2150285,2150292,-,2,42,8
chr1,PEX10,2323233,2323301,+,27,760,69
chr1,HES5,2458035,2458051,-,9,260,17
chr1,TNFRSF14,2477839,2477839,+,1,15,1
chr1,TNFRSF14,2480388,2480388,+,1,10,1
chr1,TNFRSF14,2487240,2487276,+,2,31,37
chr1,PRXL2B,2509805,2509805,-,1,14,1
chr1,MMEL1,2509805,2509805,-,1,14,1
chr1,ARHGEF16,3357858,3357858,+,1,16,1
chr1,TP73,3606871,3606871,-,1,11,1
chr1,CCDC27,3663934,3663939,-,2,26,6
chr1,CEP104,3713055,3713075,-,8,157,21
chr1,DFFB,3774024,3774040,+,3,32,17
chr1,DFFB,3764319,3764319,-,1,10,1
chr1,DFFB,3773762,3773789,-,7,142,28
chr1,KCNAB2,6086324,6086437,+,30,1197,114
chr1,RPL22,6238710,6238710,+,1,21,1
chr1,RNF207,6266179,6266179,+,1,12,1
chr1,RNF207,6253055,6253055,-,1,10,1
chr1,RNF207,6257792,6257793,-,2,28,2
chr1,RNF207,6259621,6259693,-,55,16605,73
chr1,ICMT,6266179,6266179,+,1,12,1
chr1,HES3,6295992,6296026,-,10,163,35
chr1,GPR153,6295992,6296026,-,10,163,35
chr1,TAS1R1,6607930,6607930,+,1,10,1
chr1,TAS1R1,6605978,6605978,-,1,10,1
chr1,TAS1R1,6614571,6614598,-,16,507,28
chr1,ZBTB48,6640054,6640054,+,1,12,1
chr1,ZBTB48,6623716,6623716,-,1,10,1
chr1,KLHL21,6640054,6640054,+,1,12,1
chr1,PHF13,6663206,6663213,+,4,56,8
chr1,PHF13,6673414,6673414,+,1,12,1
chr1,PHF13,6662929,6662929,-,1,18,1
chr1,THAP3,6673414,6673414,+,1,12,1
chr1,THAP3,6673791,6673815,+,3,53,25
chr1,THAP3,6673884,6673884,+,1,11,1
chr1,DNAJC11,6685243,6685252,+,2,27,10
chr1,PER3,7831353,7831367,+,3,47,15
chr1,H6PD,9294833,9294836,+,2,41,4
chr1,SLC25A33,9595326,9595326,-,1,156,1
chr1,TMEM201,9634842,9634845,+,3,128,4
chr1,TMEM201,9648806,9648834,+,3,36,29
chr1,LZIC,9979503,9979503,+,1,11,1
chr1,LZIC,9970313,9970313,-,1,12,1
chr1,NMNAT1,10002851,10002851,-,1,10,1
chr1,NMNAT1,10003357,10003357,-,1,16,1
chr1,CENPS,10480472,10480472,+,1,11,1
chr1,CENPS-CORT,10480472,10480472,+,1,11,1
chr1,CENPS-CORT,10490490,10490510,+,2,30,21
chr1,CORT,10490490,10490510,+,2,30,21
chr1,PEX14,10532538,10532605,-,23,429,68
chr1,EXOSC10,11116773,11116773,-,1,17,1
chr1,EXOSC10,11118904,11118908,-,2,26,5
chr1,EXOSC10,11120038,11120130,-,40,1475,93
chr1,MTOR,11159893,11159930,-,30,842,38
chr1,ANGPTL7,11238740,11238740,-,1,10,1
chr1,UBIAD1,11322596,11322608,-,3,63,13
chr1,FBXO44,11714934,11714934,+,1,11,1
chr1,FBXO6,11714934,11714934,+,1,11,1
chr1,FBXO6,11724257,11724257,+,1,11,1
chr1,MAD2L2,11714934,11714934,+,1,11,1
chr1,MAD2L2,11724257,11724257,+,1,11,1
chr1,DRAXIN,11741184,11741205,-,6,95,22
chr1,MTHFR,11826840,11826841,+,2,143,2
chr1,CLCN6,11851328,11851328,+,1,24,1
chr1,CLCN6,11865994,11865994,-,1,10,1
chr1,KIAA2013,11968206,11968211,+,6,898,6
chr1,KIAA2013,11969977,11969989,-,9,329,13
chr1,PLOD1,11986457,11986484,-,10,178,28
chr1,TNFRSF8,12123223,12123223,+,1,24,1
chr1,PRAMEF2,12908306,12908309,-,3,99,4
chr1,C1orf195,15480259,15480259,+,1,14,1
chr1,CELA2A,15768960,15768960,-,1,15,1
chr1,DNAJC16,15850710,15850736,-,2,29,27
chr1,DDI2,15931022,15931052,+,11,219,31
chr1,FBLIM1,16087192,16087193,-,2,28,2
chr1,SPEN,16168699,16168699,-,1,11,1
chr1,CPLANE2,16544933,16544933,+,1,26,1
chr1,CPLANE2,16553277,16553277,-,1,14,1
chr1,SZRD1,16678934,16678977,-,16,233,44
chr1,NECAP2,16758144,16758150,+,3,77,7
chr1,CROCC,17231692,17231699,+,7,220,8
