chr1	OR4F5	49091	69091
chr1	OR4F29	347659	367659
chr1	OR4F16	601096	621096
chr1	SAMD11	841111	861111
chr1	NOC2L	859583	879583
chr1	KLHL17	875964	895964
chr1	PLEKHN1	881862	901862
chr1	PERM1	890578	910578
chr1	HES4	914344	934344
chr1	ISG15	928877	948877
chr1	AGRN	935500	969373
chr1	RNF223	986347	1006347
chr1	C1orf159	997203	1017203
chr1	TTLL10	1089260	1115061
chr1	TNFRSF18	1118888	1138888
chr1	TNFRSF4	1126720	1146720
chr1	SDF4	1132288	1152311
chr1	B3GALT6	1147617	1167617
chr1	C1QTNF12	1157833	1177833
chr1	UBE2J2	1169292	1189292
chr1	SCNN1D	1195816	1215816
chr1	ACAP3	1207771	1227771
chr1	PUSL1	1223960	1243977
chr1	INTS11	1226965	1246980
chr1	CPTP	1240182	1260182
chr1	TAS1R3	1246660	1266660
chr1	DVL1	1250658	1270658
chr1	MXRA8	1268069	1288071
chr1	AURKAIP1	1289116	1309116
chr1	CCNL2	1301091	1327668
chr1	MRPL20	1317289	1337289
chr1	ANKRD65	1333800	1353800
chr1	TMEM88B	1341508	1361508
chr1	VWA1	1351070	1371070
chr1	ATAD3C	1365069	1385069
chr1	ATAD3B	1387145	1413229
chr1	ATAD3A	1427542	1447910
chr1	TMEM240	1450158	1470158
chr1	SSU72	1457053	1477053
chr1	FNDC10	1513392	1533392
chr1	MIB2	1530795	1551235
chr1	MMP23B	1547552	1567552
chr1	CDK11B	1550603	1570603
chr1	SLC35E2B	1572939	1592939
chr1	CDK11A	1613818	1633818
chr1	SLC35E2A	1636277	1658824
chr1	NADK	1662671	1682671
chr1	GNB1	1696724	1716725
chr1	CALML6	1826699	1846699
chr1	TMEM52	1829030	1849030
chr1	CFAP74	1833396	1853396
chr1	GABRD	1930784	1950784
chr1	PRKCZ	1961850	2036155
chr1	FAAP20	2095899	2123334
chr1	SKI	2139758	2159758
chr1	MORN1	2232692	2286594
chr1	RER1	2303280	2323280
chr1	PEX10	2316241	2336241
chr1	PLCH2	2378890	2407754
chr1	PANK4	2419976	2439976
chr1	HES5	2440184	2460184
chr1	TNFRSF14	2467804	2487804
chr1	PRXL2B	2498216	2518216
chr1	MMEL1	2502078	2522078
chr1	TTC34	2552708	2572708
chr1	ACTRT2	2918031	2938031
chr1	PRDM16	2965767	2985767
chr1	ARHGEF16	3351229	3371229
chr1	MEGF6	3384515	3404515
chr1	TPRG1L	3521579	3541579
chr1	WRAP73	3527334	3547334
chr1	TP73	3549080	3614610
chr1	CCDC27	3649014	3669014
chr1	SMIM1	3669325	3689351
chr1	LRRC47	3675123	3695123
chr1	CEP104	3708650	3728650
chr1	DFFB	3753831	3774040
chr1	C1orf174	3785697	3805697
